state_id,note_id,state,user_id,position_x,position_y,added_at,weather_level,z_index,rotation
1,1,public,,0.4,0.6,2025-04-12 17:43:58,0,0,1.5
2,2,public,,0.2,0.15,2025-04-12 21:21:25,0,1,0.0
3,3,public,,0.4,0.15,2025-04-12 21:21:25,0,1,-1.0
4,4,public,,0.6,0.15,2025-04-12 21:21:25,0,1,2.0
45,45,personal,SEED-TEST-DATA-USER-001,0.84,0.57,2025-04-13 01:27:34,0,3,2.2
46,46,personal,SEED-TEST-DATA-USER-001,0.38,0.75,2025-04-13 01:27:34,0,5,-1.0
47,47,public,,0.48,0.73,2025-04-13 01:27:34,0,7,-4.2
48,48,personal,SEED-TEST-DATA-USER-001,0.23,0.37,2025-04-13 01:27:34,0,9,-2.4
49,49,personal,SEED-TEST-DATA-USER-001,0.18,0.72,2025-04-13 01:27:34,0,7,4.0
50,50,trash,SEED-TEST-DATA-USER-001,0.75,0.37,2025-04-13 01:27:34,0,2,-0.6
51,51,personal,SEED-TEST-DATA-USER-001,0.41,0.42,2025-04-13 01:27:34,0,6,-3.1
52,52,personal,SEED-TEST-DATA-USER-001,0.31,0.44,2025-04-13 01:27:34,0,3,-0.6
53,53,trash,SEED-TEST-DATA-USER-001,0.8,0.4,2025-04-13 01:27:34,0,0,4.9
54,54,public,,0.48,0.51,2025-04-13 01:27:34,0,6,4.0
55,55,trash,SEED-TEST-DATA-USER-001,0.55,0.73,2025-04-13 01:27:34,0,1,0.5
56,56,trash,SEED-TEST-DATA-USER-001,0.46,0.29,2025-04-13 01:27:34,0,3,-4.1
57,57,trash,SEED-TEST-DATA-USER-001,0.42,0.82,2025-04-13 01:27:34,0,9,-2.5
58,58,trash,SEED-TEST-DATA-USER-001,0.13,0.3,2025-04-13 01:27:34,0,2,4.2
59,59,personal,SEED-TEST-DATA-USER-001,0.88,0.3,2025-04-13 01:27:34,0,4,-2.4
60,60,public,,0.78,0.77,2025-04-13 01:27:34,0,6,0.9
61,61,personal,SEED-TEST-DATA-USER-001,0.51,0.79,2025-04-13 01:27:34,0,3,-1.2
62,62,public,,0.75,0.57,2025-04-13 01:27:34,0,2,-3.6
63,63,public,,0.12,0.33,2025-04-13 01:27:34,0,0,-3.9
64,64,public,,0.23,0.76,2025-04-13 01:27:34,0,6,-1.6
