note_id,content,color,format,created_at,expires_at,type,is_prompt,prompt_id,created_by,is_auto_generated
105,This is a test sticky note!,#FEFF9C,text,2025-04-18 22:22:07,2025-04-19 22:22:07,sticky,0,,user-test-1,0
106,What’s on your mind today?,#FFFFF3,text,2025-04-18 22:23:38,2025-04-19 22:23:38,poster,1,,user-test-1,1
107,Write the world a story!,#FFFFF3,text,2025-04-18 22:23:38,2025-04-19 22:23:38,poster,1,,user-test-1,1
108,Share a random thought.,#FFFFF3,text,2025-04-18 22:23:38,2025-04-19 22:23:38,poster,1,,user-test-1,1
109,"Feeling pretty good today, thanks for asking.",#FF7EB9,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,106.0,user-2,0
110,There once was a cat who ruled the moon.,#7AFCFF,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,107.0,user-2,0
111,Pineapple does belong on pizza.,#7AFF7D,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,108.0,user-2,0
112,"Feeling overwhelmed, but hopeful.",#FF7EB9,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,106.0,user-3,0
113,"A robot woke up and asked: ""What is love?""",#7AFCFF,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,107.0,user-3,0
114,One of my socks vanished again...,#7AFF7D,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,108.0,user-3,0
115,Today is just... quiet.,#FF7EB9,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,106.0,user-4,0
116,The tree whispered secrets to the wind.,#7AFCFF,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,107.0,user-4,0
117,Sometimes I wish the sky was green.,#7AFF7D,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,108.0,user-4,0
118,Just grateful to be here.,#FF7EB9,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,106.0,user-5,0
119,"""She opened the journal, and it blinked.""",#7AFCFF,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,107.0,user-5,0
120,Bananas and ketchup are surprisingly good.,#7AFF7D,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,108.0,user-5,0
121,"Honestly, I needed this prompt today.",#FF7EB9,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,106.0,user-6,0
122,"In a world without stars, she lit a candle.",#7AFCFF,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,107.0,user-6,0
123,I forgot what I was doing halfway through.,#7AFF7D,text,2025-04-18 22:27:24,2025-04-19 22:27:24,sticky,0,108.0,user-6,0
