note_id,content,color,format,created_at,expires_at,type,is_prompt,prompt_id,created_by,is_auto_generated
1,This is a test sticky note!,#FEFF9C,text,2025-04-12 17:43:58,2025-04-13 17:43:58,sticky,0,,user-test-1,0
2,What’s on your mind today?,#FFFFF3,text,2025-04-12 21:21:25,2025-04-13 21:21:25,poster,1,,user-test-1,1
3,Write the world a story!,#FFFFF3,text,2025-04-12 21:21:25,2025-04-13 21:21:25,poster,1,,user-test-1,1
4,Share a random thought.,#FFFFF3,text,2025-04-12 21:21:25,2025-04-13 21:21:25,poster,1,,user-test-1,1
45,Prompt #1: O1KYrwOZmwOANQEW7GNhzUTX4NS7CH,#FF7EB9,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,1,,SEED-TEST-DATA-USER-001,0
46,Prompt #2: zRbqm3Ui0YHCxsqkTNp0lq7XQtSaio,#7AFCFF,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,1,,SEED-TEST-DATA-USER-001,0
47,Prompt #3: kh08HCzMl1i5S3eGYLshJQcZ oKaoq,#7AFCFF,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,1,,SEED-TEST-DATA-USER-001,0
48,Prompt #4: aP05Y7hbYuxHJFfSx0gT9ku0Zzp3ZY,#7AFCFF,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,1,,SEED-TEST-DATA-USER-001,0
49,Prompt #5: 1Zc5nkmqJ9Mi6QPYuDQ7fYRQwQmRqj,#7AFCFF,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,1,,SEED-TEST-DATA-USER-001,0
50,Note #6: xzJO93gkmJGeq2pmghx6 30cb2RyZX,#7AFF7D,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
51,Note #7: 091muSuiGB7siletlT9KMit8zGcCHw,#FEFF9C,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
52,Note #8: lOH 960NR9V51FBgKog3KjJdb7Vvgm,#7AFF7D,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
53,Note #9: AIj3albwRPxuM4LeSpam3130CZQOc4,#7AFCFF,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
54,Note #10: M2yYMI9g9Mh59t08yGmZQCaI9GNdFN,#7AFF7D,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
55,Note #11: lONqamCB0wriWrqNqeSoAYlAr5ILQ6,#FF7EB9,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
56,Note #12: FWdocj1LvOTolyLjJ9TVCwa6kjTLTS,#FF7EB9,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
57,Note #13: O7kFrL3h0spUoXFW9yJUxQvHteyF5N,#FF7EB9,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
58,Note #14: nIg 3MdZxEpwo2xDz85TSd6A1qiMT4,#FEFF9C,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
59,Note #15: IOslzK9mZCpPK0JmxUkqWbryjPVsR0,#FF7EB9,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
60,Note #16: NLtJ VGt9N68EWr8MfmFLODuEsr2QW,#FF7EB9,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
61,Note #17: 7IVWoG28V9Gml6V2a jjl PL9OKBSY,#7AFCFF,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
62,Note #18: nKITrynMPh8qE0SIrK5tR5yRfldPJ ,#7AFCFF,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
63,Note #19: Y74Vlzc2LaRaWF ilHY9Re42GdbpMj,#7AFCFF,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
64,Note #20: pDDp2Q6sJwWUnjYHgOusfUcP0nDzi7,#FEFF9C,text,2025-04-13 01:27:34,2025-04-14 01:27:34,sticky,0,,SEED-TEST-DATA-USER-001,0
